Record Date,Security Type Description,Security Class Description,Debt Held by the Public (in Millions),Intragovernmental Holdings (in Millions),Total Public Debt Outstanding (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-08-31,Nonmarketable,State and Local Government Series,84665.367383,0,84665.367383,9,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,United States Savings Securities,176640.51188672,0,176640.51188672,10,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,Government Account Series,297699.08682967,6851250.14843556,7148949.23526523,11,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,Other,3952.77822513,0,3952.77822513,12,2023,4,2023,3,08,31
2023-08-31,Total Nonmarketable,_,585336.11376932,6851250.14843556,7436586.26220488,13,2023,4,2023,3,08,31
2023-08-31,Total Public Debt Outstanding,_,26044050.6237621,6870098.65920411,32914149.2829662,14,2023,4,2023,3,08,31
2023-07-31,Marketable,Bills,4769449.5977,1064.998,4770514.5957,1,2023,4,2023,3,07,31
2023-07-31,Marketable,Notes,13727102.422,5004.0112,13732106.4332,2,2023,4,2023,3,07,31
2023-07-31,Marketable,Bonds,4193664.5919,6686.2202,4200350.8121,3,2023,4,2023,3,07,31
2023-07-31,Marketable,Treasury Inflation-Protected Securities,1901126.13508294,838.99197563,1901965.12705857,4,2023,4,2023,3,07,31
2023-07-31,Marketable,Floating Rate Notes,527552.2834,14.38,527566.6634,5,2023,4,2023,3,07,31
2023-07-31,Marketable,Federal Financing Bank,0,5492.206,5492.206,6,2023,4,2023,3,07,31
2023-07-31,Total Marketable,_,25118895.0300829,19100.80737563,25137995.8374586,7,2023,4,2023,3,07,31
2023-07-31,Nonmarketable,Domestic Series,22336.84953269,0,22336.84953269,8,2023,4,2023,3,07,31
2023-07-31,Nonmarketable,State and Local Government Series,88043.03218903,0,88043.03218903,9,2023,4,2023,3,07,31
2023-07-31,Nonmarketable,United States Savings Securities,177725.06613485,0,177725.06613485,10,2023,4,2023,3,07,31
2023-07-31,Nonmarketable,Government Account Series,297906.25791878,6880685.03848072,7178591.2963995,11,2023,4,2023,3,07,31
2023-07-31,Nonmarketable,Other,3893.02788978,0,3893.02788978,12,2023,4,2023,3,07,31
2023-07-31,Total Nonmarketable,_,589904.23366513,6880685.03848072,7470589.27214585,13,2023,4,2023,3,07,31
2023-07-31,Total Public Debt Outstanding,_,25708799.2637481,6899785.84585635,32608585.1096044,14,2023,4,2023,3,07,31
2023-06-30,Marketable,Bills,4465682.9836,1014.748,4466697.7316,1,2023,3,2023,2,06,30
2023-06-30,Marketable,Notes,13718906.6759,5061.8406,13723968.5165,2,2023,3,2023,2,06,30
2023-06-30,Marketable,Bonds,4163696.8319,6805.3735,4170502.2054,3,2023,3,2023,2,06,30
2023-06-30,Marketable,Treasury Inflation-Protected Securities,1932853.34311239,775.90712958,1933629.25024197,4,2023,3,2023,2,06,30
2023-06-30,Marketable,Floating Rate Notes,586344.6224,15.14,586359.7624,5,2023,3,2023,2,06,30
2023-06-30,Marketable,Federal Financing Bank,0,5492.206,5492.206,6,2023,3,2023,2,06,30
2023-06-30,Total Marketable,_,24867484.4569124,19165.21522958,24886649.672142,7,2023,3,2023,2,06,30
2023-06-30,Nonmarketable,Domestic Series,22295.89213474,0,22295.89213474,8,2023,3,2023,2,06,30
2023-06-30,Nonmarketable,State and Local Government Series,90480.78432922,0,90480.78432922,9,2023,3,2023,2,06,30
2023-06-30,Nonmarketable,United States Savings Securities,178253.36669535,0,178253.36669535,10,2023,3,2023,2,06,30
2023-06-30,Nonmarketable,Government Account Series,299631.17051704,6851110.78247757,7150741.95299461,11,2023,3,2023,2,06,30
2023-06-30,Nonmarketable,Other,3852.51169095,0,3852.51169095,12,2023,3,2023,2,06,30
2023-06-30,Total Nonmarketable,_,594513.7253673,6851110.78247757,7445624.50784487,13,2023,3,2023,2,06,30
2023-06-30,Total Public Debt Outstanding,_,25461998.1822797,6870275.99770715,32332274.1799868,14,2023,3,2023,2,06,30
2023-05-31,Marketable,Bills,3992377.596,1043.588,3993421.184,1,2023,3,2023,2,05,31
2023-05-31,Marketable,Notes,13712974.3362,5303.0711,13718277.4073,2,2023,3,2023,2,05,31
2023-05-31,Marketable,Bonds,4133645.3879,6858.1425,4140503.5304,3,2023,3,2023,2,05,31
2023-05-31,Marketable,Treasury Inflation-Protected Securities,1904033.50357117,863.73144782,1904897.23501899,4,2023,3,2023,2,05,31
2023-05-31,Marketable,Floating Rate Notes,564340.8543,18.84,564359.6943,5,2023,3,2023,2,05,31
2023-05-31,Marketable,Federal Financing Bank,0,6722.137,6722.137,6,2023,3,2023,2,05,31
2023-05-31,Total Marketable,_,24307371.6779712,20809.51004782,24328181.188019,7,2023,3,2023,2,05,31
2023-05-31,Nonmarketable,Domestic Series,22256.73682582,0,22256.73682582,8,2023,3,2023,2,05,31
2023-05-31,Nonmarketable,State and Local Government Series,96363.20684426,0,96363.20684426,9,2023,3,2023,2,05,31
2023-05-31,Nonmarketable,United States Savings Securities,178582.10745127,0,178582.10745127,10,2023,3,2023,2,05,31
2023-05-31,Nonmarketable,Government Account Series,22374.23604654,6812961.67206161,6835335.90810815,11,2023,3,2023,2,05,31
2023-05-31,Nonmarketable,Other,3738.28290372,0,3738.28290372,12,2023,3,2023,2,05,31
2023-05-31,Total Nonmarketable,_,323314.57007161,6812961.67206161,7136276.24213322,13,2023,3,2023,2,05,31
2023-05-31,Total Public Debt Outstanding,_,24630686.2480428,6833771.18210943,31464457.4301522,14,2023,3,2023,2,05,31
2023-04-30,Marketable,Bills,3941468.6423,1176.763,3942645.4053,1,2023,3,2023,2,04,30
2023-04-30,Marketable,Notes,13768211.0391,6084.4799,13774295.519,2,2023,3,2023,2,04,30
2023-04-30,Marketable,Bonds,4075797.4889,7027.5335,4082825.0224,3,2023,3,2023,2,04,30
2023-04-30,Marketable,Treasury Inflation-Protected Securities,1878907.24162937,868.6034531,1879775.84508247,4,2023,3,2023,2,04,30
2023-04-30,Marketable,Floating Rate Notes,601387.4249,19.47,601406.8949,5,2023,3,2023,2,04,30
2023-04-30,Marketable,Federal Financing Bank,0,4847.008,4847.008,6,2023,3,2023,2,04,30
2023-04-30,Total Marketable,_,24265771.8368293,20023.8578531,24285795.6946825,7,2023,3,2023,2,04,30
2023-04-30,Nonmarketable,Domestic Series,23936.929892,0,23936.929892,8,2023,3,2023,2,04,30
2023-04-30,Nonmarketable,State and Local Government Series,102241.77795204,0,102241.77795204,9,2023,3,2023,2,04,30
2023-04-30,Nonmarketable,United States Savings Securities,178861.95830424,0,178861.95830424,10,2023,3,2023,2,04,30
2023-04-30,Nonmarketable,Government Account Series,30462.042338718,6832723.16799583,6863185.21033454,11,2023,3,2023,2,04,30
2023-04-30,Nonmarketable,Other,3793.4552202,0,3793.4552202,12,2023,3,2023,2,04,30
2023-04-30,Total Nonmarketable,_,339296.163707198,6832723.16799583,7172019.33170302,13,2023,3,2023,2,04,30
2023-04-30,Total Public Debt Outstanding,_,24605068.0005365,6852747.02584893,31457815.0263855,14,2023,3,2023,2,04,30
2023-03-31,Marketable,Bills,4067535.9989,1296.853,4068832.8519,1,2023,2,2023,1,03,31
2023-03-31,Marketable,Notes,13731520.1662,6332.7049,13737852.8711,2,2023,2,2023,1,03,31
2023-03-31,Marketable,Bonds,4056720.6683,6972.9905,4063693.6588,3,2023,2,2023,1,03,31
2023-03-31,Marketable,Treasury Inflation-Protected Securities,1904777.41521091,830.3836978,1905607.79890871,4,2023,2,2023,1,03,31
2023-03-31,Marketable,Floating Rate Notes,601385.2549,21.94,601407.1949,5,2023,2,2023,1,03,31
2023-03-31,Marketable,Federal Financing Bank,0,4847.008,4847.008,6,2023,2,2023,1,03,31
2023-03-31,Total Marketable,_,24361939.5035109,20301.8800978,24382241.3836087,7,2023,2,2023,1,03,31
2023-03-31,Nonmarketable,Domestic Series,23897.52843021,0,23897.52843021,8,2023,2,2023,1,03,31
2023-03-31,Nonmarketable,Foreign Series,0,0,0,9,2023,2,2023,1,03,31
2023-03-31,Nonmarketable,State and Local Government Series,98169.93948768,0,98169.93948768,10,2023,2,2023,1,03,31
2023-03-31,Nonmarketable,United States Savings Securities,177841.02639706,0,177841.02639706,11,2023,2,2023,1,03,31
2023-03-31,Nonmarketable,Government Account Series,28018.2876148,6744620.74113756,6772639.02875236,12,2023,2,2023,1,03,31
2023-03-31,Nonmarketable,Other,3648.73904076,0,3648.73904076,13,2023,2,2023,1,03,31
2023-03-31,Total Nonmarketable,_,331575.52097051,6744620.74113756,7076196.26210807,14,2023,2,2023,1,03,31
2023-03-31,Total Public Debt Outstanding,_,24693515.0244814,6764922.62123536,31458437.6457168,15,2023,2,2023,1,03,31
2023-02-28,Marketable,Bills,4056421.806,1356.818,4057778.624,1,2023,2,2023,1,02,28
2023-02-28,Marketable,Notes,13724049.5282,6474.8589,13730524.3871,2,2023,2,2023,1,02,28
2023-02-28,Marketable,Bonds,4026597.14375,7096.9704,4033694.11415,3,2023,2,2023,1,02,28
2023-02-28,Marketable,Treasury Inflation-Protected Securities,1875477.09417904,835.38802606,1876312.4822051,4,2023,2,2023,1,02,28
2023-02-28,Marketable,Floating Rate Notes,579388.2158,20.07,579408.2858,5,2023,2,2023,1,02,28
2023-02-28,Marketable,Federal Financing Bank,0,4847.008,4847.008,6,2023,2,2023,1,02,28
2023-02-28,Total Marketable,_,24261933.787929,20631.11332606,24282564.9012551,7,2023,2,2023,1,02,28
2023-02-28,Nonmarketable,Domestic Series,23855.77251529,0,23855.77251529,8,2023,2,2023,1,02,28
2023-02-28,Nonmarketable,Foreign Series,264.342,0,264.342,9,2023,2,2023,1,02,28
2023-02-28,Nonmarketable,State and Local Government Series,99734.01544021,0,99734.01544021,10,2023,2,2023,1,02,28
2023-02-28,Nonmarketable,United States Savings Securities,177113.78717683,0,177113.78717683,11,2023,2,2023,1,02,28
2023-02-28,Nonmarketable,Government Account Series,42684.41173145,6829419.54353163,6872103.95526308,12,2023,2,2023,1,02,28
2023-02-28,Nonmarketable,Other,3654.68402304,0,3654.68402304,13,2023,2,2023,1,02,28
2023-02-28,Total Nonmarketable,_,347307.01288682,6829419.54353163,7176726.55641845,14,2023,2,2023,1,02,28
2023-02-28,Total Public Debt Outstanding,_,24609240.8008158,6850050.65685769,31459291.4576735,15,2023,2,2023,1,02,28
2023-01-31,Marketable,Bills,3937201.9128,1671.535,3938873.4478,1,2023,2,2023,1,01,31
2023-01-31,Marketable,Notes,13747218.0025,6572.5649,13753790.5674,2,2023,2,2023,1,01,31
2023-01-31,Marketable,Bonds,3994729.94755,7131.7605,4001861.70805,3,2023,2,2023,1,01,31
2023-01-31,Marketable,Treasury Inflation-Protected Securities,1869973.6696381,844.70576429,1870818.37540239,4,2023,2,2023,1,01,31
2023-01-31,Marketable,Floating Rate Notes,557418.1945,0,557418.1945,5,2023,2,2023,1,01,31
2023-01-31,Marketable,Federal Financing Bank,0,4847.008,4847.008,6,2023,2,2023,1,01,31
2023-01-31,Total Marketable,_,24106541.7269881,21067.57416429,24127609.3011524,7,2023,2,2023,1,01,31
2023-01-31,Nonmarketable,Domestic Series,23818.81724517,0,23818.81724517,8,2023,2,2023,1,01,31
2023-01-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2023,2,2023,1,01,31
2023-01-31,Nonmarketable,State and Local Government Series,99115.32298505,0,99115.32298505,10,2023,2,2023,1,01,31
2023-01-31,Nonmarketable,United States Savings Securities,176464.97502951,0,176464.97502951,11,2023,2,2023,1,01,31
2023-01-31,Nonmarketable,Government Account Series,174178.20599121,6849921.08050022,7024099.28649143,12,2023,2,2023,1,01,31
2023-01-31,Nonmarketable,Other,3610.09644893,0,3610.09644893,13,2023,2,2023,1,01,31
2023-01-31,Total Nonmarketable,_,477451.75969987,6849921.08050022,7327372.84020009,14,2023,2,2023,1,01,31
2023-01-31,Total Public Debt Outstanding,_,24583994.486688,6870988.65466451,31454982.0413525,15,2023,2,2023,1,01,31
2022-12-31,Marketable,Bills,3696168.8438,1217.3,3697386.1438,1,2023,1,2022,4,12,31
2022-12-31,Marketable,Notes,13745309.0878,6607.7819,13751916.8697,2,2023,1,2022,4,12,31
2022-12-31,Marketable,Bonds,3952657.97855,7215.6275,3959873.60605,3,2023,1,2022,4,12,31
2022-12-31,Marketable,Treasury Inflation-Protected Securities,1907302.91785183,769.0761737,1908071.99402553,4,2023,1,2022,4,12,31
2022-12-31,Marketable,Floating Rate Notes,617196.1217,8.07,617204.1917,5,2023,1,2022,4,12,31
2022-12-31,Marketable,Federal Financing Bank,0,4847.008,4847.008,6,2023,1,2022,4,12,31
2022-12-31,Total Marketable,_,23918634.9497018,20664.8635737,23939299.8132755,7,2023,1,2022,4,12,31
2022-12-31,Nonmarketable,Domestic Series,23778.00872315,0,23778.00872315,8,2023,1,2022,4,12,31
2022-12-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2023,1,2022,4,12,31
2022-12-31,Nonmarketable,State and Local Government Series,99898.15996172,0,99898.15996172,10,2023,1,2022,4,12,31
2022-12-31,Nonmarketable,United States Savings Securities,173499.80570349,0,173499.80570349,11,2023,1,2022,4,12,31
2022-12-31,Nonmarketable,Government Account Series,297915.32941686,6881431.34941833,7179346.67883519,12,2023,1,2022,4,12,31
2022-12-31,Nonmarketable,Other,3602.70835566,0,3602.70835566,13,2023,1,2022,4,12,31
2022-12-31,Total Nonmarketable,_,598958.35416088,6881431.34941833,7480389.70357921,14,2023,1,2022,4,12,31
2022-12-31,Total Public Debt Outstanding,_,24517593.3038627,6902096.21299203,31419689.4168547,15,2023,1,2022,4,12,31
2022-11-30,Marketable,Bills,3810733.1414,1172.01,3811905.1514,1,2023,1,2022,4,11,30
2022-11-30,Marketable,Notes,13711307.1068,6630.2469,13717937.3537,2,2023,1,2022,4,11,30
2022-11-30,Marketable,Bonds,3934877.79015,7011.6605,3941889.45065,3,2023,1,2022,4,11,30
2022-11-30,Marketable,Treasury Inflation-Protected Securities,1880968.25465244,738.92713418,1881707.18178662,4,2023,1,2022,4,11,30
2022-11-30,Marketable,Floating Rate Notes,595184.8182,29.34,595214.1582,5,2023,1,2022,4,11,30
2022-11-30,Marketable,Federal Financing Bank,0,4847.008,4847.008,6,2023,1,2022,4,11,30
2022-11-30,Total Marketable,_,23933071.1112024,20429.19253418,23953500.3037366,7,2023,1,2022,4,11,30
2022-11-30,Nonmarketable,Domestic Series,23741.76863703,0,23741.76863703,8,2023,1,2022,4,11,30
2022-11-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2023,1,2022,4,11,30
2022-11-30,Nonmarketable,State and Local Government Series,101819.08307822,0,101819.08307822,10,2023,1,2022,4,11,30
2022-11-30,Nonmarketable,United States Savings Securities,173217.6412951,0,173217.6412951,11,2023,1,2022,4,11,30
2022-11-30,Nonmarketable,Government Account Series,317927.29688058,6839436.68808419,7157363.98496477,12,2023,1,2022,4,11,30
2022-11-30,Nonmarketable,Other,3415.30983097,0,3415.30983097,13,2023,1,2022,4,11,30
2022-11-30,Total Nonmarketable,_,620385.4417219,6839436.68808419,7459822.12980609,14,2023,1,2022,4,11,30
2022-11-30,Total Public Debt Outstanding,_,24553456.5529243,6859865.88061837,31413322.4335427,15,2023,1,2022,4,11,30
2022-10-31,Marketable,Bills,3664797.5893,1180.86,3665978.4493,1,2023,1,2022,4,10,31
2022-10-31,Marketable,Notes,13727319.9538,6889.1039,13734209.0577,2,2023,1,2022,4,10,31
2022-10-31,Marketable,Bonds,3897465.22365,6875.0515,3904340.27515,3,2023,1,2022,4,10,31
2022-10-31,Marketable,Treasury Inflation-Protected Securities,1860204.13587691,681.74306208,1860885.87893899,4,2023,1,2022,4,10,31
2022-10-31,Marketable,Floating Rate Notes,573168.9028,55.92,573224.8228,5,2023,1,2022,4,10,31
2022-10-31,Marketable,Federal Financing Bank,0,4847.008,4847.008,6,2023,1,2022,4,10,31
2022-10-31,Total Marketable,_,23722955.8054269,20529.68646208,23743485.491889,7,2023,1,2022,4,10,31
2022-10-31,Nonmarketable,Domestic Series,25930.39655754,0,25930.39655754,8,2023,1,2022,4,10,31
2022-10-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2023,1,2022,4,10,31
2022-10-31,Nonmarketable,State and Local Government Series,104454.47304505,0,104454.47304505,10,2023,1,2022,4,10,31
2022-10-31,Nonmarketable,United States Savings Securities,172555.83997187,0,172555.83997187,11,2023,1,2022,4,10,31
2022-10-31,Nonmarketable,Government Account Series,322953.58074944,6865229.79943185,7188183.38018129,12,2023,1,2022,4,10,31
2022-10-31,Nonmarketable,Other,3427.23293694,0,3427.23293694,13,2023,1,2022,4,10,31
2022-10-31,Total Nonmarketable,_,629585.86526084,6865229.79943185,7494815.66469269,14,2023,1,2022,4,10,31
2022-10-31,Total Public Debt Outstanding,_,24352541.6706877,6885759.48589393,31238301.1565817,15,2023,1,2022,4,10,31
2022-09-30,Marketable,Bills,3643675.2524,944.948,3644620.2004,1,2022,4,2022,3,09,30
2022-09-30,Marketable,Notes,13696487.6086,7307.7439,13703795.3525,2,2022,4,2022,3,09,30
2022-09-30,Marketable,Bonds,3867671.65395,6680.4895,3874352.14345,3,2022,4,2022,3,09,30
2022-09-30,Marketable,Treasury Inflation-Protected Securities,1839843.33998246,688.72035701,1840532.06033947,4,2022,4,2022,3,09,30
2022-09-30,Marketable,Floating Rate Notes,625896.5273,80.65,625977.1773,5,2022,4,2022,3,09,30
2022-09-30,Marketable,Federal Financing Bank,0,4847.008,4847.008,6,2022,4,2022,3,09,30
2022-09-30,Total Marketable,_,23673574.3822324,20549.55975701,23694123.9419895,7,2022,4,2022,3,09,30
2022-09-30,Nonmarketable,Domestic Series,25893.8778589,0,25893.8778589,8,2022,4,2022,3,09,30
2022-09-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2022,4,2022,3,09,30
2022-09-30,Nonmarketable,State and Local Government Series,109235.72952364,0,109235.72952364,10,2022,4,2022,3,09,30
2022-09-30,Nonmarketable,United States Savings Securities,166292.43118931,0,166292.43118931,11,2022,4,2022,3,09,30
2022-09-30,Nonmarketable,Government Account Series,320633.96855686,6609169.43339121,6929803.40194807,12,2022,4,2022,3,09,30
2022-09-30,Nonmarketable,Other,3297.86251906,0,3297.86251906,13,2022,4,2022,3,09,30
2022-09-30,Total Nonmarketable,_,625618.21164777,6609169.43339121,7234787.64503898,14,2022,4,2022,3,09,30
2022-09-30,Total Public Debt Outstanding,_,24299192.5938802,6629718.99314822,30928911.5870284,15,2022,4,2022,3,09,30
2022-08-31,Marketable,Bills,3723766.292,1213.09,3724979.382,1,2022,4,2022,3,08,31
2022-08-31,Marketable,Notes,13664817.6994,7328.1149,13672145.8143,2,2022,4,2022,3,08,31
2022-08-31,Marketable,Bonds,3837714.75775,6638.0155,3844352.77325,3,2022,4,2022,3,08,31
2022-08-31,Marketable,Treasury Inflation-Protected Securities,1823972.25549622,683.92423208,1824656.1797283,4,2022,4,2022,3,08,31
2022-08-31,Marketable,Floating Rate Notes,603899.8567,77.37,603977.2267,5,2022,4,2022,3,08,31
2022-08-31,Marketable,Federal Financing Bank,0,4847.008,4847.008,6,2022,4,2022,3,08,31
2022-08-31,Total Marketable,_,23654170.8613462,20787.52263208,23674958.3839783,7,2022,4,2022,3,08,31
2022-08-31,Nonmarketable,Domestic Series,25863.8495636,0,25863.8495636,8,2022,4,2022,3,08,31
2022-08-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2022,4,2022,3,08,31
2022-08-31,Nonmarketable,State and Local Government Series,99064.78307782,0,99064.78307782,10,2022,4,2022,3,08,31
2022-08-31,Nonmarketable,United States Savings Securities,164355.29431207,0,164355.29431207,11,2022,4,2022,3,08,31
2022-08-31,Nonmarketable,Government Account Series,320611.60296147,6647736.44997002,6968348.05293149,12,2022,4,2022,3,08,31
2022-08-31,Nonmarketable,Other,3220.48730735,0,3220.48730735,13,2022,4,2022,3,08,31
2022-08-31,Total Nonmarketable,_,613380.35922231,6647736.44997002,7261116.80919233,14,2022,4,2022,3,08,31
2022-08-31,Total Public Debt Outstanding,_,24267551.2205685,6668523.9726021,30936075.1931706,15,2022,4,2022,3,08,31
2022-07-31,Marketable,Bills,3513559.2012,1376.8,3514936.0012,1,2022,4,2022,3,07,31
2022-07-31,Marketable,Notes,13623822.5948,7140.6159,13630963.2107,2,2022,4,2022,3,07,31
2022-07-31,Marketable,Bonds,3781547.80095,6493.6315,3788041.43245,3,2022,4,2022,3,07,31
2022-07-31,Marketable,Treasury Inflation-Protected Securities,1788644.56762403,691.91697226,1789336.48459629,4,2022,4,2022,3,07,31
2022-07-31,Marketable,Floating Rate Notes,626537.7833,84.02,626621.8033,5,2022,4,2022,3,07,31
2022-07-31,Marketable,Federal Financing Bank,0,4847.008,4847.008,6,2022,4,2022,3,07,31
2022-07-31,Total Marketable,_,23334111.947874,20633.99237226,23354745.9402463,7,2022,4,2022,3,07,31
2022-07-31,Nonmarketable,Domestic Series,25835.99051897,0,25835.99051897,8,2022,4,2022,3,07,31
2022-07-31,Nonmarketable,Foreign Series,264.342,0,264.342,9,2022,4,2022,3,07,31
2022-07-31,Nonmarketable,State and Local Government Series,103865.81492406,0,103865.81492406,10,2022,4,2022,3,07,31
2022-07-31,Nonmarketable,United States Savings Securities,162521.96991625,0,162521.96991625,11,2022,4,2022,3,07,31
2022-07-31,Nonmarketable,Government Account Series,322714.79845236,6621895.39176091,6944610.19021327,12,2022,4,2022,3,07,31
2022-07-31,Nonmarketable,Other,3264.3999405,0,3264.3999405,13,2022,4,2022,3,07,31
2022-07-31,Total Nonmarketable,_,618467.31575214,6621895.39176091,7240362.68251305,14,2022,4,2022,3,07,31
2022-07-31,Total Public Debt Outstanding,_,23952579.2636262,6642529.38413317,30595108.6227593,15,2022,4,2022,3,07,31
2022-06-30,Marketable,Bills,3522601.3666,1323.95,3523925.3166,1,2022,3,2022,2,06,30
2022-06-30,Marketable,Notes,13575955.1127,7642.2049,13583597.3176,2,2022,3,2022,2,06,30
2022-06-30,Marketable,Bonds,3760441.60215,6178.2195,3766619.82165,3,2022,3,2022,2,06,30
2022-06-30,Marketable,Treasury Inflation-Protected Securities,1805355.75768405,640.0752372,1805995.83292125,4,2022,3,2022,2,06,30
2022-06-30,Marketable,Floating Rate Notes,626512.4533,84.35,626596.8033,5,2022,3,2022,2,06,30
2022-06-30,Marketable,Federal Financing Bank,0,4847.008,4847.008,6,2022,3,2022,2,06,30
2022-06-30,Total Marketable,_,23290866.292434,20715.8076372,23311582.1000712,7,2022,3,2022,2,06,30
2022-06-30,Nonmarketable,Domestic Series,25816.22303164,0,25816.22303164,8,2022,3,2022,2,06,30
2022-06-30,Nonmarketable,Foreign Series,264.342,0,264.342,9,2022,3,2022,2,06,30
2022-06-30,Nonmarketable,State and Local Government Series,108208.1873517,0,108208.1873517,10,2022,3,2022,2,06,30
2022-06-30,Nonmarketable,United States Savings Securities,160439.8569322,0,160439.8569322,11,2022,3,2022,2,06,30
2022-06-30,Nonmarketable,Government Account Series,323348.75395878,6635706.21990789,6959054.97386667,12,2022,3,2022,2,06,30
2022-06-30,Nonmarketable,Other,3216.05293208,0,3216.05293208,13,2022,3,2022,2,06,30
2022-06-30,Total Nonmarketable,_,621293.4162064,6635706.21990789,7256999.63611429,14,2022,3,2022,2,06,30
2022-06-30,Total Public Debt Outstanding,_,23912159.7086404,6656422.02754509,30568581.7361855,15,2022,3,2022,2,06,30
2022-05-31,Marketable,Bills,3671227.6121,1695.705,3672923.3171,1,2022,3,2022,2,05,31
